section,metric,method,value
cov_error_mean,fro,model,0.022240870666436506
cov_error_mean,kl,model,123846.84504420093
cov_error_mean,stein,model,247693.69008832856
cov_error_mean,logeuc,model,82.01399862626701
gmvp_mean,gmvp_mean,model,0.0002232627819629832
gmvp_mean,gmvp_var,model,8.373137782175908e-05
gmvp_mean,gmvp_vol,model,0.007636410903068256
gmvp_mean,gmvp_sharpe,model,1.0563615085793217
gmvp_mean,turnover_l1,model,0.5743071418955281
cov_error_mean,fro,mix,0.02179442430560307
cov_error_mean,kl,mix,561.6659031347775
cov_error_mean,stein,mix,1123.3318062695519
cov_error_mean,logeuc,mix,85.8963988984076
gmvp_mean,gmvp_mean,mix,0.00020309535671058374
gmvp_mean,gmvp_var,mix,8.16293201786229e-05
gmvp_mean,gmvp_vol,mix,0.007514865388144133
gmvp_mean,gmvp_sharpe,mix,1.0156668450550588
gmvp_mean,turnover_l1,mix,0.3924240913356697
cov_error_mean,fro,roll,0.02430778735936254
cov_error_mean,kl,roll,550345.1177093688
cov_error_mean,stein,roll,1100690.2354186256
cov_error_mean,logeuc,roll,68.20045114020769
gmvp_mean,gmvp_mean,roll,0.00019305250483412875
gmvp_mean,gmvp_var,roll,8.161205650114598e-05
gmvp_mean,gmvp_vol,roll,0.007592125566561222
gmvp_mean,gmvp_sharpe,roll,0.7541089964376011
gmvp_mean,turnover_l1,roll,0.4367031109888175
cov_error_mean,fro,pers,0.026658959042188426
cov_error_mean,kl,pers,1074946.5465526248
cov_error_mean,stein,pers,2149893.09310374
cov_error_mean,logeuc,pers,58.07427401431243
gmvp_mean,gmvp_mean,pers,0.00030787095700454404
gmvp_mean,gmvp_var,pers,8.598080209199178e-05
gmvp_mean,gmvp_vol,pers,0.007949824184264572
gmvp_mean,gmvp_sharpe,pers,-0.9397359272743563
gmvp_mean,turnover_l1,pers,0.7297527225951117
cov_error_mean,fro,shrink,0.021914409482150406
cov_error_mean,kl,shrink,559.9182090022167
cov_error_mean,stein,shrink,1119.8364180044111
cov_error_mean,logeuc,shrink,86.05793675113168
gmvp_mean,gmvp_mean,shrink,0.00019638642463750886
gmvp_mean,gmvp_var,shrink,8.186435889775975e-05
gmvp_mean,gmvp_vol,shrink,0.007529036565433062
gmvp_mean,gmvp_sharpe,shrink,0.9958527968333399
gmvp_mean,turnover_l1,shrink,0.3132636052465661
